symbol,sector,industry,price
KNX,Transportation,Trucking,
HAS,Consumer Durables,Recreational Products,
BX,Finance,Investment Managers,
ATRO,Electronic Technology,Aerospace & Defense,
LOW,Retail Trade,Home Improvement Chains,
BSE,Miscellaneous,Investment Trusts/Mutual Funds,
NVMI,Electronic Technology,Electronic Production Equipment,
MUR,Energy Minerals,Oil & Gas Production,
NMM,Transportation,Marine Shipping,
ABMD,Health Technology,Medical Specialties,
GOOG,Technology Services,Internet Software/Services,
MS,Finance,Investment Banks/Brokers,
TRN,Producer Manufacturing,Trucks/Construction/Farm Machinery,
AAV,Energy Minerals,Oil & Gas Production,
BH,Consumer Services,Restaurants,
EMF,Miscellaneous,Investment Trusts/Mutual Funds,
ONCE,Health Technology,Biotechnology,
CTS,Electronic Technology,Computer Processing Hardware,
DAN,Producer Manufacturing,Auto Parts: OEM,
LIFE,Health Technology,Biotechnology,
GLPI,Finance,Real Estate Investment Trusts,
VNCE,Consumer Non-Durables,Apparel/Footwear,
SBSI,Finance,Regional Banks,
EMD,Miscellaneous,Investment Trusts/Mutual Funds,
MCHP,Electronic Technology,Semiconductors,
OOMA,Technology Services,Information Technology Services,
GBX,Producer Manufacturing,Trucks/Construction/Farm Machinery,
THGA,Finance,Property/Casualty Insurance,
MANU,Consumer Services,Movies/Entertainment,
PLD,Finance,Real Estate Investment Trusts,
SOL,Electronic Technology,Semiconductors,
SJT,Miscellaneous,Investment Trusts/Mutual Funds,
QRVO,Electronic Technology,Semiconductors,
CPA,Transportation,Airlines,
RIV,Miscellaneous,Investment Trusts/Mutual Funds,
CAH,Distribution Services,Medical Distributors,
FIZZ,Consumer Non-Durables,Beverages: Non-Alcoholic,
BWG,Miscellaneous,Investment Trusts/Mutual Funds,
BFIN,Finance,Financial Conglomerates,
NJR,Utilities,Gas Distributors,
OSBC,Finance,Regional Banks,
PLOW,Producer Manufacturing,Trucks/Construction/Farm Machinery,
BEP,Utilities,Electric Utilities,
SBBP,Health Technology,Biotechnology,
KURA,Health Technology,Biotechnology,
SMP,Consumer Durables,Automotive Aftermarket,
HPS,Miscellaneous,Investment Trusts/Mutual Funds,
WMS,Producer Manufacturing,Miscellaneous Manufacturing,
XPO,Transportation,Trucking,
USDP,Industrial Services,Oil & Gas Pipelines,
SNDX,Health Technology,Biotechnology,
BBW,Retail Trade,Specialty Stores,
EMN,Process Industries,Chemicals: Major Diversified,
NIE,Miscellaneous,Investment Trusts/Mutual Funds,
KMT,Producer Manufacturing,Industrial Machinery,
ENVI,Producer Manufacturing,Industrial Machinery,
PBFX,Industrial Services,Oilfield Services/Equipment,
SAP,Technology Services,Packaged Software,
MTB,Finance,Regional Banks,
OGE,Utilities,Electric Utilities,
PANW,Electronic Technology,Computer Communications,
ABM,Commercial Services,Miscellaneous Commercial Services,
BTI,Consumer Non-Durables,Tobacco,
